ダウンロードした時刻：2020/02/29 10:57:33

,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2020/1/1,5.5,8,1
2020/1/2,6.2,8,1
2020/1/3,6.1,8,1
2020/1/4,7.2,8,1
2020/1/5,5.4,8,1
2020/1/6,7.5,8,1
2020/1/7,5.7,8,1
2020/1/8,5.2,8,1
2020/1/9,10.6,8,1
2020/1/10,8.4,8,1
2020/1/11,7.0,8,1
2020/1/12,6.7,8,1
2020/1/13,8.5,8,1
2020/1/14,8.4,8,1
2020/1/15,6.8,8,1
2020/1/16,6.7,8,1
2020/1/17,7.3,8,1
2020/1/18,3.8,8,1
2020/1/19,6.5,8,1
2020/1/20,7.5,8,1
2020/1/21,7.4,8,1
2020/1/22,4.9,8,1
2020/1/23,6.1,8,1
2020/1/24,9.9,8,1
2020/1/25,7.8,8,1
2020/1/26,5.0,8,1
2020/1/27,5.1,8,1
2020/1/28,4.4,8,1
2020/1/29,11.8,8,1
2020/1/30,11.7,8,1
2020/1/31,8.1,8,1
